type,entry_time,entry_price,close_time,close_price,support,resistance
short,2021-06-05 06:20:00,37572.81,2021-06-05 17:30:00,35579.83,37471.33,
short,2021-06-08 00:15:00,35560.78,2021-06-08 05:05:00,33674.86,35543.98,
short,2021-06-08 05:25:00,33552.79,2021-06-08 19:45:00,31603.0,33300.0,
short,2021-06-12 00:15:00,36912.22,2021-06-12 15:40:00,34793.49,36801.99,
short,2021-06-16 00:15:00,40606.89,2021-06-16 20:20:00,38799.34,40880.0,
short,2021-06-18 00:15:00,37896.6,2021-06-18 23:55:00,35724.87,37701.61,
short,2021-06-20 00:15:00,35516.13,2021-06-20 17:45:00,33462.83,35360.08,
short,2021-06-21 00:15:00,34855.77,2021-06-21 12:00:00,32991.99,34750.29,
short,2021-06-22 00:15:00,32685.3,2021-06-22 17:30:00,30500.0,32419.99,
short,2021-06-25 00:15:00,34916.48,2021-06-25 18:05:00,33082.74,34896.43,
short,2021-06-25 19:50:00,33249.97,2021-06-25 23:10:00,31526.01,33259.95,
short,2021-06-26 00:15:00,32158.58,2021-06-26 13:35:00,30350.04,32030.25,
short,2021-06-30 00:15:00,36289.99,2021-06-30 20:30:00,34268.82,36142.22,
short,2021-07-01 01:45:00,34898.59,2021-07-01 15:50:00,33026.0,34905.92,
short,2021-07-05 00:15:00,35470.58,2021-07-05 17:00:00,33528.5,35435.0,
short,2021-07-08 00:15:00,34716.65,2021-07-08 11:25:00,32884.56,34701.07,
short,2021-07-15 00:15:00,32778.71,2021-07-15 22:45:00,31223.89,32901.3,
short,2021-07-27 00:15:00,39710.72,2021-07-27 02:20:00,37435.88,39545.39,
short,2021-08-02 01:10:00,41419.56,2021-08-02 17:40:00,39108.47,41191.0,
short,2021-08-05 00:15:00,39643.3,2021-08-05 18:15:00,37526.11,39573.83,
short,2021-08-12 00:15:00,46386.23,2021-08-12 21:55:00,43889.72,46277.52,
short,2021-08-26 00:15:00,48872.36,2021-08-26 17:35:00,46427.14,48886.1,
short,2021-09-07 00:15:00,51731.08,2021-09-07 20:15:00,48675.33,51677.01,
short,2021-09-07 20:35:00,43088.74,2021-09-07 20:35:00,43088.74,47200.0,
short,2021-09-08 00:20:00,46934.73,2021-09-08 13:45:00,44642.56,47029.99,
short,2021-09-13 00:35:00,45887.37,2021-09-13 19:45:00,43562.51,45872.64,
short,2021-09-20 00:15:00,47596.92,2021-09-20 13:00:00,44604.33,47651.41,
short,2021-09-20 13:50:00,45000.0,2021-09-20 18:05:00,42608.21,44861.15,
short,2021-09-21 00:15:00,43550.01,2021-09-21 05:50:00,40564.88,43224.0,
short,2021-09-22 00:15:00,42167.38,2021-09-22 02:45:00,39681.0,42166.64,
short,2021-09-24 00:15:00,44672.55,2021-09-24 15:25:00,42350.81,44590.79,
short,2021-10-21 00:15:00,66528.97,2021-10-21 20:55:00,62380.15,66582.0,
short,2021-10-22 13:50:00,63475.98,2021-10-22 21:40:00,60214.53,63450.0,
short,2021-10-27 00:15:00,62357.99,2021-10-27 13:30:00,58740.3,62284.27,
short,2021-11-11 00:15:00,68010.0,2021-11-11 02:50:00,62947.71,67553.99,
short,2021-11-16 00:15:00,63732.25,2021-11-16 09:40:00,60500.58,63796.49,
short,2021-11-18 00:15:00,60431.25,2021-11-18 22:25:00,57276.9,60300.0,
short,2021-11-26 00:15:00,59099.99,2021-11-26 13:50:00,56034.56,59049.98,
short,2021-12-04 00:15:00,54992.2,2021-12-04 09:25:00,52000.0,54770.0,
short,2021-12-04 09:45:00,52539.55,2021-12-04 10:30:00,48969.08,52017.61,
short,2021-12-04 10:50:00,47096.61,2021-12-04 10:55:00,45559.47,48589.57,
short,2021-12-09 00:25:00,50548.7,2021-12-09 23:55:00,47884.73,50416.01,
short,2021-12-13 00:15:00,50418.78,2021-12-13 19:50:00,47881.87,50443.94,
short,2021-12-17 02:05:00,48243.95,2021-12-17 20:40:00,45704.32,48134.38,
short,2021-12-28 00:15:00,51686.18,2021-12-28 09:45:00,48862.32,51655.0,
short,2022-01-06 00:15:00,45995.33,2022-01-06 03:40:00,43359.46,45809.0,
short,2022-01-07 00:30:00,43300.89,2022-01-07 21:45:00,40995.4,43240.81,
short,2022-01-10 00:15:00,42087.17,2022-01-10 19:50:00,39865.88,42032.0,
short,2022-01-21 00:15:00,43036.6,2022-01-21 04:50:00,40641.36,42913.06,
short,2022-01-21 05:10:00,40876.43,2022-01-21 09:00:00,38438.17,40680.19,
short,2022-01-22 00:15:00,38343.03,2022-01-22 04:15:00,35699.21,38255.77,
short,2022-01-22 04:55:00,36732.31,2022-01-22 15:35:00,34283.29,36269.47,
short,2022-01-24 00:15:00,34957.58,2022-01-24 16:25:00,33276.59,35099.65,
short,2022-01-27 00:15:00,37723.76,2022-01-27 07:50:00,35777.32,37683.02,
short,2022-02-08 11:55:00,45125.87,2022-02-08 22:55:00,42868.95,45125.73,
short,2022-02-11 00:20:00,45145.8,2022-02-11 06:10:00,42711.64,44984.6,
short,2022-02-17 00:15:00,43744.96,2022-02-17 23:40:00,41403.24,43684.43,
short,2022-02-20 00:20:00,40144.61,2022-02-20 14:30:00,38094.11,40105.51,
short,2022-02-24 00:15:00,37905.68,2022-02-24 08:30:00,35547.87,37726.88,
short,2022-02-28 00:15:00,38980.27,2022-02-28 02:45:00,37014.35,39035.13,
short,2022-03-10 00:15:00,41896.93,2022-03-10 10:00:00,39743.27,41936.82,
short,2022-03-16 07:50:00,41345.5,2022-03-16 09:50:00,38970.28,41035.97,
short,2022-04-06 00:15:00,45964.45,2022-04-06 22:30:00,43569.24,45875.0,
short,2022-04-11 00:15:00,43136.35,2022-04-11 19:00:00,40819.37,43130.5,
short,2022-04-22 00:15:00,41433.45,2022-04-22 21:20:00,39396.06,41575.31,
short,2022-04-26 01:10:00,40261.0,2022-04-26 22:50:00,38065.06,40169.02,
short,2022-05-05 00:15:00,39334.29,2022-05-05 23:50:00,36150.64,38590.97,
short,2022-05-08 00:15:00,35925.17,2022-05-08 22:30:00,33941.07,35940.0,
short,2022-05-09 00:15:00,34528.5,2022-05-09 20:05:00,32497.47,34443.09,
short,2022-05-11 00:15:00,31683.73,2022-05-11 18:15:00,29604.96,31559.49,
short,2022-05-11 19:40:00,30837.75,2022-05-11 23:10:00,29553.42,31120.27,
short,2022-05-12 00:15:00,29905.56,2022-05-12 02:55:00,28169.79,29966.15,
short,2022-05-12 03:15:00,28754.4,2022-05-12 11:20:00,26888.39,28313.96,
